logFC	logCPM	LR	PValue	FDR
AT3G63350	-1.70703210240242	1.57387184794167	26.9810334515404	2.05461680214128e-07	0.00241926825290347
AT3G51680	-1.16819877789577	3.16406117918351	26.0607278340519	3.30845432786349e-07	0.00241926825290347
AT3G14540	-1.5844138044832	1.93913272599105	25.8843018694938	3.62505212910988e-07	0.00241926825290347
AT2G36950	-1.16825321553241	7.40129989215986	25.406776333414	4.64284375236966e-07	0.00241926825290347
AT2G41450	-1.3962259468215	4.90296769121697	25.1992231510222	5.17030195944609e-07	0.00241926825290347
AT5G11140	-1.46617989324211	3.69845305744969	25.0701225603897	5.528281798157e-07	0.00241926825290347
AT3G46613	-2.08640167326362	-1.26618433631238	24.4667458661129	7.56035225172944e-07	0.00283588812962371
AT5G48110	-1.56132622221774	4.85509557321369	23.91360634325	1.00757108326414e-06	0.00330697424165832
AT3G02480	-1.34796484190346	0.940091510092643	23.0378997236191	1.58839055034195e-06	0.00463404118670318
AT2G20605	3.53344569874272	-3.85879355723449	21.6260570329494	3.31320029340901e-06	0.00775900600187735
AT5G35550	3.35921655866419	-3.991551553853	21.3423375747998	3.84153094505867e-06	0.00775900600187735
AT1G58050	-2.13692049260734	-2.56874740221859	20.8158352859669	5.05631651096453e-06	0.00933497394985051
AT4G25410	-1.35376326200934	2.51853041675046	20.5902960447598	5.68837198452253e-06	0.00933497394985051
AT3G13280	-1.29032695916811	1.91575037359161	19.9736465836419	7.85168836141239e-06	0.0114534322947558
AT3G17270	-3.65696801488588	-4.08404760305333	19.7567820420587	8.79490462634919e-06	0.0121540953038974
AT1G16400	1.33405329664582	1.94721153374402	19.4985022318338	1.00678593468194e-05	0.0132175891434718
AT1G07657	-1.1959343035543	1.31580308307257	19.3151758293386	1.1082202817969e-05	0.0138564475900673
AT3G24310	-1.38455578375578	2.95203349699279	19.111029237187	1.23330115974225e-05	0.0140794732831967
AT4G21323	-1.15253564264158	2.27183373250957	19.0203017676444	1.29335042113542e-05	0.0141497925032303
AT1G23160	-1.44489035099178	2.45587701933544	18.4543712387889	1.74021210454906e-05	0.0171401528898917
AT1G77885	-1.05963633524231	5.45923968220648	18.4301008058758	1.76251714981557e-05	0.0171401528898917
AT1G04720	-2.78071200721909	-3.98507177919001	18.1837971602071	2.00578028552309e-05	0.0185272698475389
AT4G37840	-2.63180345653022	-3.62993184857281	18.1457308749574	2.04627651894211e-05	0.0185272698475389
AT3G20840	-1.07796803572883	2.46017038307287	17.8164866820794	2.43266231818552e-05	0.0206046498350314
AT1G27670	-1.07087490156615	2.62950889457737	17.6345250399389	2.67684452085493e-05	0.0219643458075275
AT5G65165	-1.09985269801492	1.30901977253839	17.4748077483184	2.91140130903338e-05	0.0221763592705542
AT2G27120	-1.99996152829334	-1.34732719452055	17.4458690754621	2.95605962017517e-05	0.0221763592705542
AT4G28420	-1.17153379040343	1.02810527674962	17.3759894036108	3.06675756235491e-05	0.022288500694953
AT5G20240	-1.36811162357224	6.51716066342025	17.3306621640479	3.14077969955921e-05	0.022288500694953
AT1G44318	-1.21201472765707	2.13504759766013	16.9758544776722	3.78582258366501e-05	0.0249969822870379
AT5G51470	-1.05149486377044	2.35499240405256	16.9647410810002	3.80804848795185e-05	0.0249969822870379
AT1G09110	-1.80594297898985	-2.33970052462435	16.9054356381744	3.92889138529316e-05	0.0251611953911323
AT1G69530	1.30876853501476	5.81321518182002	16.750961788447	4.26206547206274e-05	0.0266450126428456
AT5G45870	3.00026623974283	-4.01195886895713	16.6395818693229	4.51978744576928e-05	0.0270059975947052
AT1G65390	-1.06950298490689	8.01942431313111	16.5273751451159	4.79527309250124e-05	0.0270059975947052
AT5G07480	-2.90583985070288	-2.7790748968228	16.5120956932171	4.83407048387532e-05	0.0270059975947052
AT1G20470	-1.19403435098787	0.645884718671611	16.3276656035791	5.32803913201661e-05	0.0285506782631347
AT2G47770	-1.36613977271806	1.28688098749283	16.2405923635543	5.57859104498441e-05	0.029252429063181
AT2G21820	-1.56124573348737	-0.767119830129529	16.0168492929729	6.27812629864986e-05	0.0317009158122403
AT5G56325	-2.5205432438992	-3.70664020544197	15.9072716163109	6.65226450015127e-05	0.0329563224491456
AT4G18680	-2.13981896633012	-3.13520630312284	15.8547431403005	6.8394891858607e-05	0.0332563828802119
AT1G73120	-1.8608332170956	3.58440476304197	15.7387050273889	7.27208420240775e-05	0.0342107008375514
AT2G24340	-2.35407359787596	-3.70832455155013	15.7110471660574	7.37919309487623e-05	0.0342107008375514
AT5G66660	-1.19721989171291	0.417692907186238	15.6881622301091	7.4690170686295e-05	0.0342107008375514
AT2G47780	-1.33560841920251	0.823090122217793	15.6660330569284	7.5569206252732e-05	0.0342107008375514
AT1G47130	-1.13414630047762	4.89155983782325	15.6210580841425	7.7387948070998e-05	0.0344402602118677
AT1G02205	-1.00580499743359	1.89300278470526	15.5087959091254	8.21222294341627e-05	0.0354598216365523
AT3G27140	-2.67438130469623	-4.05801466206149	15.5028740657109	8.23799032574053e-05	0.0354598216365523
AT2G23800	-1.13199132397376	3.59995235330077	15.4158074723052	8.6263660699479e-05	0.0365326603062293
AT2G05520	1.0284178832278	9.99264182282353	15.2303408051782	9.5162177156386e-05	0.0393045948189197
AT1G78390	-1.69666982774642	-0.73311631183138	15.1269637555496	0.000100517312772456	0.0400437167897074
AT2G43610	-1.01352109144135	6.92068322994436	15.0792310108496	0.000103091317518112	0.0404010257324338
AT1G54950	1.68657723759547	-2.74273731884446	14.8976253443507	0.000113505775694455	0.0414398087948312
AT1G74140	1.96473124339533	-3.11463827651491	14.8933071926803	0.000113765894410082	0.0414398087948312
AT4G37800	1.13745788371352	5.28364141561705	14.8624936541194	0.00011563955412596	0.0414398087948312
AT5G23903	2.45088570508633	-3.03814536518366	14.845939595307	0.000116658940795408	0.0414398087948312
AT5G47280	-1.86605342463664	-0.93193684366452	14.8375269596418	0.000117180446148811	0.0414398087948312
AT4G23090	-2.15458833170539	-2.92720060793417	14.5649313011047	0.000135411313509206	0.0467828270896215
AT5G24210	1.63862627814604	6.15757832483521	14.5182411253266	0.000138808940644514	0.0473338487597793
AT3G26742	-2.27050187612337	-3.54046792692889	14.4387161983334	0.000144794753798384	0.0481250107656225
AT4G17470	-1.62323852874361	2.05864461097816	14.3788438390958	0.000149472263612497	0.0482121147245591
AT5G07690	4.62613828286208	-4.36815085575837	14.3180680387743	0.000154376030666354	0.0482121147245591
AT5G09060	-3.86508376356366	-4.33225811450283	14.3111483758004	0.000154944527235204	0.0482121147245591
AT3G10950	-1.54518789555558	-2.03853582367346	14.3063618759909	0.000155339003256007	0.0482121147245591
AT1G70420	-1.15306092773582	7.44960786758053	14.294862038198	0.000156290893179646	0.0482121147245591
AT2G28340	-1.87639649135898	-1.88360407680318	14.2754630338003	0.000157909961774463	0.0482121147245591
AT5G48090	-1.01087611300066	0.807965523345794	14.2434263866221	0.0001606208530748	0.0484761119446556
